Status,PUID,Name,Version,Score
STUB,fmt/68,Drawing Interchange File Format (ASCII),2.0,5
STUB,fmt/69,Drawing Interchange File Format (ASCII),2.1,5
STUB,fmt/7,Tagged Image File Format,3,5
STUB,fmt/70,Drawing Interchange File Format (ASCII),2.2,5
STUB,fmt/71,Drawing Interchange File Format (ASCII),2.5,5
STUB,fmt/72,Drawing Interchange File Format (ASCII),2.6,5
STUB,fmt/73,Drawing Interchange File Format (ASCII),R9,5
ADEQUATE,fmt/74,Drawing Interchange File Format (ASCII),R10,7
ADEQUATE,fmt/75,Drawing Interchange File Format (ASCII),R11/12,7
ADEQUATE,fmt/76,Drawing Interchange File Format (ASCII),R13,7
ADEQUATE,fmt/77,Drawing Interchange File Format (ASCII),R14,7
ADEQUATE,fmt/78,Drawing Interchange File Format (ASCII),2000-2002,7
ADEQUATE,fmt/79,Drawing Interchange File Format (ASCII),2004-2005,7
ADEQUATE,fmt/8,Tagged Image File Format,4,7
ADEQUATE,fmt/80,Drawing Interchange File Format (Binary),R10,7
ADEQUATE,fmt/81,Drawing Interchange File Format (Binary),R11/12,7
ADEQUATE,fmt/82,Drawing Interchange File Format (Binary),R13,7
ADEQUATE,fmt/83,Drawing Interchange File Format (Binary),R14,7
ADEQUATE,fmt/84,Drawing Interchange File Format (Binary),2000-2002,7
ADEQUATE,fmt/85,Drawing Interchange File Format (Binary),2004-2005,7
STUB,fmt/86,PCX,0,5
STUB,fmt/87,PCX,2,5
STUB,fmt/88,PCX,3,5
STUB,fmt/89,PCX,4,5
ADEQUATE,fmt/9,Tagged Image File Format,5,7
STUB,fmt/90,PCX,5,5
STUB,fmt/91,Scalable Vector Graphics,1.0,5
STUB,fmt/92,Scalable Vector Graphics,1.1,5
STUB,fmt/93,Virtual Reality Modeling Language,1.0,5
STUB,fmt/94,Virtual Reality Modeling Language,97,5
ADEQUATE,fmt/95,Acrobat PDF/A - Portable Document Format,1,7
STUB,fmt/96,Hypertext Markup Language,[?],5
ADEQUATE,fmt/97,Hypertext Markup Language,2.0,7
ADEQUATE,fmt/98,Hypertext Markup Language,3.2,7
